"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        End-to-end flow:
          1. Log in to eBay using credentials from environment variables.
          2. Empty the cart.
          3. Search for the configured query under the configured max price
             (up to 5 items, using the site's price filter and XPath).
          4. Add every collected item to the cart (screenshot per item).
          5. Assert the cart total does not exceed max_price × item count
             (navigates to cart, screenshots it, and asserts).
        ","992","test_search_add_to_cart_and_verify[chrome_latest]","tests","Mon Mar 16 17:27:12 UTC 2026","broken","Mon Mar 16 17:27:13 UTC 2026","TestEbayFlow","test_ebay_flow","",""
"
        End-to-end flow:
          1. Log in to eBay using credentials from environment variables.
          2. Empty the cart.
          3. Search for the configured query under the configured max price
             (up to 5 items, using the site's price filter and XPath).
          4. Add every collected item to the cart (screenshot per item).
          5. Assert the cart total does not exceed max_price × item count
             (navigates to cart, screenshots it, and asserts).
        ","991","test_search_add_to_cart_and_verify[chrome_128]","tests","Mon Mar 16 17:26:46 UTC 2026","broken","Mon Mar 16 17:26:46 UTC 2026","TestEbayFlow","test_ebay_flow","",""
"
        End-to-end flow:
          1. Log in to eBay using credentials from environment variables.
          2. Empty the cart.
          3. Search for the configured query under the configured max price
             (up to 5 items, using the site's price filter and XPath).
          4. Add every collected item to the cart (screenshot per item).
          5. Assert the cart total does not exceed max_price × item count
             (navigates to cart, screenshots it, and asserts).
        ","73101","test_search_add_to_cart_and_verify[chrome_127]","tests","Mon Mar 16 17:26:35 UTC 2026","passed","Mon Mar 16 17:27:49 UTC 2026","TestEbayFlow","test_ebay_flow","",""
"
        End-to-end flow:
          1. Log in to eBay using credentials from environment variables.
          2. Empty the cart.
          3. Search for the configured query under the configured max price
             (up to 5 items, using the site's price filter and XPath).
          4. Add every collected item to the cart (screenshot per item).
          5. Assert the cart total does not exceed max_price × item count
             (navigates to cart, screenshots it, and asserts).
        ","849","test_search_add_to_cart_and_verify[edge_latest]","tests","Mon Mar 16 17:27:20 UTC 2026","broken","Mon Mar 16 17:27:21 UTC 2026","TestEbayFlow","test_ebay_flow","",""
"
        End-to-end flow:
          1. Log in to eBay using credentials from environment variables.
          2. Empty the cart.
          3. Search for the configured query under the configured max price
             (up to 5 items, using the site's price filter and XPath).
          4. Add every collected item to the cart (screenshot per item).
          5. Assert the cart total does not exceed max_price × item count
             (navigates to cart, screenshots it, and asserts).
        ","89476","test_search_add_to_cart_and_verify[firefox_latest]","tests","Mon Mar 16 17:26:34 UTC 2026","passed","Mon Mar 16 17:28:03 UTC 2026","TestEbayFlow","test_ebay_flow","",""
